player,shot_type,location,defender_distance,time_remaining,score_diff,shot_success
Player A,MIDRANGE,paint,2.77,13,6,True
Player A,MIDRANGE,right wing,2.03,12,-2,True
Player B,LAYUP,top of key,1.48,18,-2,True
Player A,LAYUP,top of key,1.35,3,-2,True
Player A,MIDRANGE,top of key,2.67,18,-3,True
Player B,MIDRANGE,left wing,1.89,2,0,False
Player C,3PT,top of key,3.22,3,-9,False
Player A,3PT,right wing,1.88,6,-2,False
Player C,MIDRANGE,top of key,1.69,21,-10,True
Player B,3PT,left wing,2.67,23,9,False
Player A,MIDRANGE,paint,2.38,24,4,True
Player B,MIDRANGE,paint,0.9,1,-1,False
Player B,LAYUP,left wing,2.09,21,-3,True
Player A,MIDRANGE,right wing,3.28,1,6,False
Player C,LAYUP,left wing,1.39,4,9,False
Player A,LAYUP,left wing,2.39,14,1,True
Player A,LAYUP,right wing,2.06,4,3,True
Player A,3PT,top of key,1.95,4,1,False
Player B,MIDRANGE,left wing,1.92,11,4,True
Player B,3PT,right wing,3.69,13,6,True
Player C,3PT,top of key,2.26,18,7,True
Player A,LAYUP,right wing,2.28,14,-4,True
Player C,3PT,paint,0.74,11,9,True
Player A,3PT,paint,1.0,19,-1,False
Player A,3PT,top of key,1.66,10,4,False
Player B,3PT,left wing,1.52,18,-2,False
Player A,3PT,right wing,3.92,22,1,False
Player B,LAYUP,paint,0.74,7,-4,False
Player B,LAYUP,right wing,0.72,16,-6,True
Player C,3PT,right wing,0.97,10,-9,True
Player B,LAYUP,left wing,3.93,5,3,True
Player A,3PT,top of key,3.01,12,-10,False
Player A,3PT,top of key,3.78,18,-2,False
Player C,LAYUP,top of key,0.95,6,-2,True
Player B,MIDRANGE,paint,2.27,24,6,False
Player C,3PT,right wing,3.32,11,-8,False
Player C,MIDRANGE,top of key,0.91,22,-5,True
Player B,LAYUP,paint,3.93,4,-4,False
Player A,LAYUP,top of key,2.25,6,7,True
Player B,MIDRANGE,left wing,3.45,14,-9,True
Player C,3PT,paint,0.68,14,4,False
Player B,LAYUP,right wing,0.99,5,-6,True
Player C,LAYUP,left wing,3.64,12,-4,True
Player B,LAYUP,paint,1.29,1,5,True
Player B,3PT,right wing,1.67,15,2,False
Player C,3PT,left wing,3.68,8,-9,False
Player B,LAYUP,right wing,3.0,22,2,False
Player C,LAYUP,top of key,0.51,23,6,True
Player B,LAYUP,right wing,0.7,14,-5,False
Player B,3PT,paint,1.53,11,-2,False
Player C,LAYUP,top of key,0.71,4,-2,False
Player A,LAYUP,paint,1.18,20,-4,False
Player B,3PT,paint,2.56,2,-6,True
Player A,MIDRANGE,top of key,1.25,5,7,True
Player A,LAYUP,left wing,1.39,16,-4,True
Player B,3PT,top of key,2.31,14,-5,False
Player B,LAYUP,left wing,3.33,4,8,True
Player C,3PT,paint,2.52,12,-1,True
Player B,LAYUP,paint,1.97,17,-5,True
Player C,3PT,paint,3.35,8,-4,False
Player A,LAYUP,right wing,1.97,23,10,True
Player A,3PT,paint,3.18,15,-10,False
Player A,3PT,left wing,1.78,14,7,False
Player B,3PT,right wing,1.77,22,-5,False
Player C,LAYUP,paint,3.97,5,-6,True
Player C,LAYUP,top of key,1.36,21,1,False
Player A,MIDRANGE,right wing,2.53,19,-3,False
Player B,LAYUP,left wing,3.16,15,-9,True
Player C,3PT,left wing,3.74,10,0,False
Player A,MIDRANGE,right wing,1.51,13,10,True
Player A,3PT,right wing,0.68,6,0,False
Player A,3PT,paint,1.16,13,9,False
Player A,3PT,left wing,3.75,19,-10,False
Player A,MIDRANGE,right wing,1.5,22,0,False
Player B,MIDRANGE,top of key,2.81,15,8,False
Player C,3PT,left wing,3.93,10,7,False
Player C,LAYUP,top of key,1.8,19,1,False
Player B,3PT,paint,3.22,16,10,False
Player C,LAYUP,paint,2.86,15,7,True
Player B,LAYUP,top of key,3.73,1,7,True
Player A,3PT,top of key,2.8,18,0,False
Player C,LAYUP,right wing,3.31,15,-1,False
Player C,3PT,paint,3.06,8,-2,True
Player C,MIDRANGE,paint,1.65,22,4,False
Player A,LAYUP,right wing,1.88,14,-10,True
Player A,MIDRANGE,paint,2.94,12,9,False
Player B,LAYUP,left wing,0.92,11,-5,False
Player A,LAYUP,paint,1.82,1,0,True
Player C,LAYUP,left wing,1.16,11,0,False
Player A,3PT,paint,3.04,12,-4,False
Player B,3PT,left wing,2.25,15,10,True
Player A,MIDRANGE,right wing,0.7,3,-4,True
Player A,MIDRANGE,top of key,3.65,2,-10,True
Player B,LAYUP,right wing,2.41,17,-7,False
Player A,MIDRANGE,paint,1.64,4,5,True
Player A,MIDRANGE,top of key,0.65,12,0,False
Player B,3PT,paint,3.38,19,-1,False
Player C,3PT,top of key,3.5,14,2,False
Player C,3PT,paint,2.64,11,2,False
Player B,LAYUP,right wing,0.73,21,-2,True
Player C,3PT,top of key,1.05,15,9,False
Player A,LAYUP,left wing,3.7,18,-10,True
Player A,LAYUP,left wing,3.69,23,5,True
Player B,MIDRANGE,top of key,1.94,12,0,True
Player B,MIDRANGE,left wing,1.56,18,-1,True
Player A,MIDRANGE,paint,1.16,23,8,False
Player C,LAYUP,paint,2.34,12,-6,True
Player C,3PT,left wing,3.02,12,-8,False
Player B,LAYUP,left wing,1.8,6,0,True
Player A,MIDRANGE,paint,3.57,4,7,False
Player C,MIDRANGE,right wing,2.83,1,10,False
Player C,MIDRANGE,left wing,2.19,7,-9,True
Player B,MIDRANGE,left wing,2.45,17,-3,True
Player A,MIDRANGE,top of key,1.6,14,6,False
Player A,3PT,paint,0.55,16,-7,False
Player C,LAYUP,left wing,2.44,1,-8,False
Player C,MIDRANGE,top of key,3.98,24,-4,False
Player B,3PT,right wing,0.91,6,-8,True
Player C,LAYUP,left wing,2.89,23,-4,True
Player A,3PT,right wing,0.61,3,9,False
Player B,3PT,top of key,1.63,24,5,True
Player A,MIDRANGE,left wing,3.53,22,8,False
Player C,MIDRANGE,left wing,2.09,13,-4,True
Player B,LAYUP,right wing,3.87,8,7,False
Player C,LAYUP,right wing,2.15,17,-4,False
Player C,3PT,paint,0.78,4,-3,False
Player C,LAYUP,paint,2.3,4,-2,False
Player B,LAYUP,paint,0.63,17,10,True
Player A,MIDRANGE,top of key,1.67,3,7,True
Player A,3PT,paint,3.21,11,-3,False
Player C,LAYUP,right wing,3.91,4,0,False
Player C,3PT,paint,0.96,15,0,True
Player B,LAYUP,top of key,1.43,20,-2,True
Player A,3PT,left wing,1.49,6,-4,False
Player C,LAYUP,top of key,2.35,18,-2,False
Player B,3PT,left wing,0.55,21,-10,True
Player B,LAYUP,top of key,2.64,4,4,True
Player B,LAYUP,paint,1.08,23,-1,True
Player C,MIDRANGE,paint,3.76,11,4,False
Player C,LAYUP,right wing,3.89,2,-9,True
Player A,3PT,paint,2.92,6,-6,False
Player A,3PT,left wing,1.94,19,5,False
Player B,LAYUP,top of key,3.87,9,-6,True
Player C,MIDRANGE,paint,0.82,21,9,False
Player C,3PT,left wing,3.81,8,-3,True
Player C,LAYUP,left wing,2.15,8,7,True
Player B,MIDRANGE,top of key,0.83,2,-4,True
Player A,MIDRANGE,right wing,2.74,9,9,False
Player A,MIDRANGE,top of key,1.95,2,-6,False
Player B,LAYUP,paint,2.91,13,-6,True
Player A,LAYUP,left wing,1.1,10,2,False
Player C,MIDRANGE,left wing,1.57,1,2,True
Player B,LAYUP,paint,2.85,2,0,True
Player B,3PT,paint,2.5,7,-2,True
Player B,MIDRANGE,right wing,0.54,8,-10,False
Player A,LAYUP,paint,3.34,21,-10,False
Player C,3PT,left wing,1.42,14,0,False
Player C,LAYUP,top of key,3.22,4,7,True
Player A,MIDRANGE,top of key,0.87,16,-5,True
Player A,3PT,left wing,2.89,18,5,True
Player B,3PT,paint,1.8,17,-8,False
Player A,3PT,right wing,2.25,1,5,True
Player A,3PT,left wing,2.93,18,-1,False
Player C,3PT,top of key,3.75,7,-6,False
